198,WASTE CONTAINER /COMPONENTSCARRIAGE,109.2,0,7,03012658-01
199,GUIDE ROL LDA-VPA 75K-EL-47994,25.8,0,7,03004958-01
200,CENTERING FOR FEEDER / X-SERIES,405.97,0,7,03028910-01
201,FEEDER SEALING /X-SERIES,741.8,0,7,03023777-03
202,latch,5.88,0,7,03069205-02
203,"Tension spring  d=0,63* D=5,6* Lo=23,3",0.65,0,7,03010352-01
204,FIXING RAIL,80,0,7,03020037-02
205,GUIDE PROFILE,42.2,0,7,03039368-03
206,ENTERING GUIDE FEEDER /X-FEEDER,2.57,0,7,03002898-02
207,DIN 625 - 609/9 - 2Z,2.96,0,7,03044704-01
208,Actuator AZ334,20.9,0,7,03013488-01
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
